Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Resultdifference,season
2018/3/9,32,HOU,TOR,L,@,regular,1,33.28,5,13,0.385,0,3,0,4,4,1,0,3,3,3,3,0,2,4,14,9.3,-6,0.474,0.385,0,10.6,5.5,13.2,4.6,0,11.9,23.2,96,111,-2.6,-3,2017-2018
2018/3/11,32,HOU,DAL,W,@,regular,1,30.22,9,18,0.5,4,7,0.571,2,2,1,0,5,5,12,0,0,2,4,24,21.3,31,0.636,0.611,0,14.2,8.1,77.2,0,0,9.6,32.8,136,92,14.7,23,2017-2018
2018/3/12,32,HOU,SAS,W,Home,regular,1,22.82,8,11,0.727,2,4,0.5,0,0,0,1,2,3,9,1,0,1,1,18,20.7,19,0.818,0.818,5.5,8.8,7.3,85.4,2.2,0,8.3,24,168,99,23.6,16,2017-2018
2018/3/15,32,HOU,LAC,W,Home,regular,1,31.75,3,13,0.231,0,6,0,5,6,0.833,1,3,4,3,0,0,3,2,11,2.6,-10,0.352,0.231,3,10.1,6.4,14.9,0,0,16.1,25.4,78,108,-11.6,5,2017-2018
2018/3/17,32,HOU,NOP,W,@,regular,1,33.25,8,19,0.421,3,6,0.5,2,2,1,1,8,9,5,2,1,2,2,21,17.4,7,0.528,0.5,3.1,29.6,15.1,26.3,3.1,2.4,9.1,29.3,113,105,7.8,6,2017-2018
2018/3/18,32,HOU,MIN,W,@,regular,1,34.6,4,8,0.5,1,3,0.333,9,10,0.9,1,7,8,9,1,0,3,2,18,19.9,3,0.726,0.563,4,24.9,15,33.3,1.5,0,19.5,20.4,144,126,3.8,9,2017-2018
2018/3/20,32,HOU,POR,W,@,regular,1,31.82,6,16,0.375,5,10,0.5,5,6,0.833,3,5,8,6,0,0,0,2,22,19.8,8,0.59,0.531,11,18.4,14.7,31.3,0,0,0,27.9,142,125,9.9,4,2017-2018
2018/3/27,32,HOU,CHI,W,Home,regular,1,27.73,4,12,0.333,3,9,0.333,2,2,1,0,4,4,10,4,0,3,1,13,15,20,0.505,0.458,0,13.8,7.1,50.8,6.9,0,18.9,24.5,108,80,7.7,32,2017-2018
2018/4/3,32,HOU,WAS,W,Home,regular,1,32.65,3,11,0.273,2,9,0.222,0,0,0,0,2,2,6,0,0,1,2,8,4.5,11,0.364,0.364,0,7.5,3.6,22.9,0,0,8.3,16.8,97,118,-9.8,16,2017-2018
2018/4/5,32,HOU,POR,W,Home,regular,1,31.12,11,19,0.579,3,8,0.375,2,2,1,0,4,4,5,0,0,2,2,27,20,1,0.679,0.658,0,14,7.3,45.3,0,0,9.1,34.2,129,106,9.1,2,2017-2018
2018/4/7,32,HOU,OKC,L,Home,regular,1,35.48,6,15,0.4,2,8,0.25,3,3,1,1,3,4,9,1,0,3,4,17,13.2,3,0.521,0.467,4.1,8.1,6.5,43.7,1.4,0,15.5,25.3,112,116,0.9,-6,2017-2018
2018/4/10,32,HOU,LAL,W,@,regular,1,27.23,9,14,0.643,4,7,0.571,0,0,0,0,3,3,6,1,0,0,3,22,20.7,2,0.786,0.786,0,10.6,5.5,50,1.7,0,0,21.8,165,99,17.4,6,2017-2018
2016/10/27,31,LAC,POR,W,@,regular,1,33.25,9,19,0.474,3,8,0.375,6,7,0.857,0,5,5,5,1,0,1,2,27,21.1,-4,0.611,0.553,0,17.2,7.5,30.1,1.4,0,4.3,28.2,133,107,11.1,8,2016-2017
2016/10/30,31,LAC,UTA,W,Home,regular,1,28.93,3,8,0.375,1,3,0.333,2,2,1,0,3,3,9,3,0,3,1,9,11.4,14,0.507,0.438,0,11.8,5.4,51.4,5.6,0,25.3,18.8,102,79,9.1,13,2016-2017
2016/10/31,31,LAC,PHO,W,Home,regular,1,29.95,8,15,0.533,2,4,0.5,6,7,0.857,0,5,5,8,2,0,2,4,24,21.8,21,0.664,0.6,0,16.4,9.1,47.2,3,0,10,28.6,130,90,11.8,18,2016-2017
2016/11/2,31,LAC,OKC,L,Home,regular,1,32.75,4,11,0.364,2,4,0.5,5,6,0.833,1,10,11,9,6,0,5,1,15,19.1,-7,0.55,0.455,2.9,34.1,17.3,46.9,8.7,0,26.8,24.4,96,68,14.5,-2,2016-2017
