Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
2021/1/30,35-269,PHO,DAL,W (+6),@,regular,1,35:10:00,8,18,0.444,1,3,0.333,12,13,0.923,1,2,3,12,4,0,3,3,29,28.7,5,0.611,0.472,3.3,7.2,5.2,62.8,5.6,0,11.2,33.9,131,101,15.2
2021/2/1,35-271,PHO,DAL,W (+1),@,regular,1,38:03:00,14,20,0.7,4,7,0.571,2,2,1,2,7,9,9,2,0,5,3,34,31.2,-3,0.814,0.8,5.5,21.5,13.1,44.8,2.5,0,19.3,28.8,141,105,17.3
2021/2/3,35-273,PHO,NOP,L (-22),@,regular,1,25:01:00,4,7,0.571,1,2,0.5,1,1,1,0,0,0,4,1,0,1,2,10,8.7,-20,0.672,0.643,0,0,0,25.3,2.1,0,11.8,15.5,129,137,-1.4
2021/2/5,35-275,PHO,DET,W (+17),,regular,1,29:30:00,7,14,0.5,3,7,0.429,3,3,1,0,7,7,9,1,0,2,3,20,19.2,20,0.653,0.607,0,20,12,47.8,1.6,0,11.5,24.9,136,90,11.2
2021/2/7,35-277,PHO,BOS,W (+9),,regular,1,32:58:00,6,14,0.429,0,5,0,3,3,1,0,3,3,2,1,1,1,1,15,10.2,19,0.49,0.429,0,8.1,4.8,9.3,1.7,3,6.1,24.4,101,107,-3.4
2021/2/8,35-278,PHO,CLE,W (+6),,regular,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2021/2/10,35-280,PHO,MIL,W (+1),,regular,1,32:26:00,10,20,0.5,4,7,0.571,4,4,1,0,3,3,7,2,1,1,2,28,24.7,-3,0.643,0.6,0,9.9,5.2,33.2,3.1,3.1,4.4,30.9,142,125,11.7
2021/2/13,35-283,PHO,PHI,W (+9),,regular,1,33:21:00,8,13,0.615,2,4,0.5,0,0,,1,7,8,10,1,1,4,3,18,18.4,2,0.692,0.692,4.6,28,17.2,39.4,1.6,2.6,23.5,24.6,125,117,6.4
2021/2/14,35-284,PHO,ORL,W (+19),,regular,1,28:27:00,5,9,0.556,2,3,0.667,0,0,,0,6,6,9,2,0,2,4,12,14.2,25,0.667,0.667,0,17.8,9.5,46.6,3.5,0,18.2,17.3,129,88,7.8
2021/2/16,35-286,PHO,BRK,L (-4),,regular,1,35:27:00,12,20,0.6,4,8,0.5,1,1,1,1,3,4,7,1,0,0,0,29,27.3,-9,0.709,0.7,3.7,11.9,7.6,29.9,1.4,0,0,27.9,149,138,8.5
2021/2/19,35-289,PHO,NOP,W (+18),@,regular,1,30:41:00,6,11,0.545,3,5,0.6,0,0,,0,4,4,19,2,1,2,1,15,24.5,20,0.682,0.682,0,16,8.5,71.4,3.1,3.1,15.4,19.1,158,110,16.4
2021/2/20,35-290,PHO,MEM,W (+31),@,regular,1,22:29,6,9,0.667,4,5,0.8,0,0,,0,2,2,6,0,0,1,2,16,15.1,13,0.889,0.889,0,8.1,4.7,38.6,0,0,10,21,162,109,9.5
2021/2/22,35-292,PHO,POR,W (+32),,regular,1,25:09:00,1,9,0.111,0,1,0,0,0,,0,3,3,9,1,0,2,0,2,2.3,20,0.111,0.111,0,13.3,6.4,35.7,2,0,18.2,18.4,71,106,-11.5
2021/2/24,35-294,PHO,CHO,L (-3),,regular,1,37:34:00,7,14,0.5,3,7,0.429,3,4,0.75,0,8,8,10,1,1,3,5,20,18.7,11,0.635,0.607,0,23.8,11.7,36.4,1.2,2.5,16,21.2,123,120,2.8
2021/2/26,35-296,PHO,CHI,W (+9),@,regular,1,34:44:00,5,11,0.455,0,4,0,4,4,1,1,5,6,15,3,0,3,2,14,20.2,28,0.549,0.455,3.6,20.9,11.7,55.9,4.4,0,19,21.4,117,100,7.2
2021/2/28,35-298,PHO,MIN,W (+19),@,regular,1,32:06:00,5,8,0.625,1,2,0.5,0,0,,0,6,6,15,1,0,4,1,11,16.3,18,0.688,0.688,0,18.3,9.9,61.4,1.4,0,33.3,15.5,121,95,6.7
2021/3/2,35-300,PHO,LAL,W (+10),@,regular,1,33:10:00,1,4,0.25,1,3,0.333,5,6,0.833,0,5,5,10,0,1,1,1,8,13,0,0.602,0.375,0,20.7,10.5,39.6,0,3,13.1,10.9,150,114,2.1
2021/3/4,35-302,PHO,GSW,W (+22),,regular,1,21:19,3,6,0.5,2,3,0.667,2,2,1,0,4,4,3,0,0,4,1,10,5.9,1,0.727,0.667,0,18.4,9.8,16,0,0,36.8,20.8,97,100,-4.8
2021/3/11,35-309,PHO,POR,W (+6),@,regular,1,31:36:00,7,15,0.467,2,4,0.5,3,3,1,0,5,5,7,0,0,2,4,19,14.1,-12,0.582,0.533,0,15.8,9.6,27.7,0,0,10.9,26.7,120,128,-3.2
2021/3/13,35-311,PHO,IND,L (-11),,regular,1,34:20:00,2,10,0.2,1,4,0.25,3,4,0.75,0,4,4,10,4,0,2,5,8,9.6,6,0.34,0.25,0,14.3,6.6,34.8,5.5,0,14.5,16.8,94,113,-2
2021/3/15,35-313,PHO,MEM,W (+23),,regular,1,28:03:00,9,11,0.818,0,0,,0,0,,0,3,3,7,4,0,4,1,18,19.3,14,0.818,0.818,0,10.9,6.3,37.9,7,0,26.7,24.5,126,93,12.6
2021/3/18,35-316,PHO,MIN,L (-4),,regular,1,31:27:00,7,14,0.5,1,4,0.25,2,2,1,0,7,7,5,4,0,2,1,17,17.2,-8,0.571,0.536,0,21.8,12.6,22.2,5.8,0,11.8,22.3,116,106,4.3
2021/3/19,35-317,PHO,MIN,W (+12),,regular,1,33:37:00,8,16,0.5,1,2,0.5,3,3,1,0,1,1,9,0,0,3,1,20,15.2,11,0.577,0.531,0,3.7,1.8,40.7,0,0,14.8,26,115,106,0.6
2021/3/21,35-319,PHO,LAL,W (+17),,regular,1,32:24:00,3,11,0.273,0,3,0,5,6,0.833,1,9,10,13,3,1,2,2,11,17.5,8,0.403,0.273,3.4,27.2,16.1,51.3,4.5,2.5,12.8,21.6,109,87,7.8
2021/3/23,35-321,PHO,MIA,W (+10),@,regular,1,27:26:00,4,7,0.571,0,2,0,0,0,,0,3,3,9,1,0,0,2,8,12.1,19,0.571,0.571,0,10.9,5.9,41.4,2,0,0,12.1,149,113,4.1
2021/3/24,35-322,PHO,ORL,L (-1),@,regular,1,32:24:00,8,15,0.533,1,3,0.333,6,6,1,0,6,6,7,1,0,1,4,23,20.8,3,0.652,0.567,0,19.3,9.3,36.8,1.5,0,5.4,25.6,137,116,5.8
2021/3/26,35-324,PHO,TOR,W (+4),@,regular,1,35:45:00,8,16,0.5,1,5,0.2,2,2,1,1,5,6,8,2,0,2,3,19,17.6,4,0.563,0.531,3.4,14.9,9.5,33.3,2.8,0,10.6,23.7,118,101,5.6
2021/3/28,35-326,PHO,CHO,W (+4),@,regular,1,38:11:00,5,16,0.313,1,5,0.2,5,6,0.833,0,2,2,1,2,0,4,2,16,4.9,1,0.429,0.344,0,6.2,2.7,5.1,2.9,0,17.7,25.6,82,106,-7.1
2021/3/30,35-328,PHO,ATL,W (+7),,regular,1,30:39:00,5,10,0.5,0,2,0,2,2,1,0,3,3,8,2,0,3,1,12,12.1,4,0.551,0.5,0,10.7,5.5,33.7,3.3,0,21.6,20,111,113,0.9
2021/3/31,35-329,PHO,CHI,W (+5),,regular,1,32:02:00,7,13,0.538,0,0,,5,7,0.714,0,4,4,14,0,0,1,3,19,20.7,10,0.591,0.538,0,13,7.3,59.1,0,0,5.9,25.5,139,128,3.5
2021/4/2,35-331,PHO,OKC,W (+37),,regular,1,21:48,8,8,1,1,1,1,0,0,,1,4,5,12,3,0,1,2,17,26.1,16,1.063,1.063,6.7,19.1,13.9,72.6,6.5,0,11.1,18.1,200,94,27.6
2021/4/5,35-334,PHO,HOU,W (+3),@,regular,1,35:03:00,6,9,0.667,3,5,0.6,4,5,0.8,0,5,5,11,4,0,2,2,19,25.1,3,0.848,0.833,0,19,9.1,42.1,5.3,0,15.2,16.3,161,119,11.3
2021/4/7,35-336,PHO,UTA,W (+4),,regular,1,42:57:00,12,24,0.5,3,7,0.429,2,2,1,0,4,4,9,1,0,5,1,29,20.1,17,0.583,0.563,0,9.5,4.7,36.8,1.1,0,16.7,29.8,112,106,5.5
2021/4/8,35-337,PHO,LAC,L (-10),@,regular,1,31:38:00,4,11,0.364,0,3,0,5,5,1,1,6,7,3,1,0,2,4,13,8.9,-16,0.492,0.364,4.3,25.3,15,15.2,1.7,0,13.2,23.5,104,128,-6.8
2021/4/10,35-339,PHO,WAS,W (+28),,regular,1,25:00:00,6,11,0.545,0,2,0,1,1,1,1,4,5,10,1,0,0,1,13,17.2,25,0.568,0.545,4.1,16.3,10.2,44.2,1.8,0,0,19.4,143,101,6.7
2021/4/12,35-341,PHO,HOU,W (+6),,regular,1,26:36:00,2,8,0.25,2,3,0.667,3,3,1,0,4,4,10,2,0,0,0,9,14.4,-9,0.483,0.375,0,17.2,7.8,43.6,3.5,0,0,14.6,149,116,4.7
2021/4/13,35-342,PHO,MIA,W (+20),,regular,1,25:43:00,2,7,0.286,1,3,0.333,0,0,,0,2,2,9,3,0,1,4,5,8.2,4,0.357,0.357,0,7.9,4.4,49,5.8,0,12.5,13.7,112,84,4.9
2021/4/15,35-344,PHO,SAC,W (+8),,regular,1,29:41:00,6,12,0.5,1,4,0.25,0,0,,1,2,3,11,3,0,0,1,13,18.6,18,0.542,0.542,4.3,9.8,6.8,46.4,5.2,0,0,18.8,149,116,9.3
2021/4/17,35-346,PHO,SAS,L (-26),,regular,1,22:19,3,10,0.3,0,1,0,0,0,,1,2,3,6,0,0,0,0,6,5.7,-25,0.3,0.3,3.8,11.3,6.9,43.7,0,0,0,19.4,93,118,-2.9
2021/4/19,35-348,PHO,MIL,W (+1),@,regular,1,38:01:00,10,20,0.5,2,4,0.5,0,0,,0,7,7,13,1,0,2,1,22,21.8,9,0.55,0.55,0,21.2,10.2,48.9,1.3,0,9.1,25.3,122,116,5.9
2021/4/21,35-350,PHO,PHI,W (+3),@,regular,1,33:55:00,10,17,0.588,5,8,0.625,3,4,0.75,1,2,3,8,0,1,0,1,28,26.9,3,0.746,0.735,3.5,7.6,5.5,42.2,0,2.6,0,25.7,162,130,15.1
2021/4/22,35-351,PHO,BOS,L (-13),@,regular,1,38:06:00,8,16,0.5,3,7,0.429,3,3,1,0,8,8,8,2,0,4,4,22,18.4,-7,0.635,0.594,0,26.5,11.7,38.9,2.6,0,18.8,24.7,113,100,8.5
2021/4/25,35-354,PHO,BRK,L (-9),@,regular,1,33:01:00,5,11,0.455,2,5,0.4,2,2,1,0,4,4,8,0,0,6,5,14,7.1,-8,0.589,0.545,0,14.9,6.7,32.6,0,0,33.6,23,96,137,-7.6
2021/4/26,35-355,PHO,NYK,W (+8),@,regular,1,33:54:00,8,12,0.667,2,3,0.667,2,2,1,0,5,5,6,0,2,2,3,20,18.7,9,0.776,0.75,0,18.6,9.8,25.2,0,4.9,13.4,21.4,143,118,6
2021/4/28,35-357,PHO,LAC,W (+8),,regular,1,32:15:00,10,15,0.667,4,8,0.5,4,4,1,0,3,3,10,3,0,3,2,28,28.6,10,0.835,0.8,0,12.8,5.5,52.9,4.9,0,15.2,27.6,155,107,22.7
2021/4/30,35-359,PHO,UTA,W (+21),,regular,1,20:49,5,9,0.556,0,1,0,2,2,1,0,3,3,9,1,1,4,1,12,12.2,4,0.607,0.556,0,15.7,8.6,56.9,2.4,5.6,28.8,29.8,111,103,6
2021/5/2,35-361,PHO,OKC,W (+3),@,regular,1,27:49:00,7,13,0.538,2,5,0.4,2,2,1,0,1,1,11,0,0,4,1,18,15.3,2,0.648,0.615,0,3.6,2,57.7,0,0,22.4,29.1,122,132,-0.6
2021/5/4,35-363,PHO,CLE,W (+16),@,regular,1,35:31:00,8,16,0.5,2,3,0.667,5,5,1,0,6,6,16,4,2,0,4,23,31.8,20,0.632,0.563,0,19.9,9.9,55.4,5.7,4.9,0,23.1,157,102,19.7
2021/5/5,35-364,PHO,ATL,L (-32),@,regular,1,23:56,3,11,0.273,1,2,0.5,2,2,1,1,1,2,6,1,0,2,0,9,6.7,-26,0.379,0.318,4.3,6.9,5.3,44.6,2.2,0,14.4,27.6,91,150,-7.4
2021/5/7,36-001,PHO,NYK,W (+23),,regular,1,29:56:00,6,11,0.545,2,3,0.667,3,4,0.75,0,6,6,11,0,0,0,3,17,19.6,21,0.666,0.636,0,21.9,11.2,52.8,0,0,0,18.9,160,109,9.4
2021/5/9,36-003,PHO,LAL,L (-13),@,regular,1,34:04:00,6,13,0.462,1,2,0.5,0,0,,0,4,4,10,4,1,5,5,13,12.2,-1,0.5,0.5,0,13.1,7.7,46.1,5.9,2.8,27.8,25.6,95,120,-0.2
2021/5/11,36-005,PHO,GSW,L (-6),@,regular,1,32:48:00,9,17,0.529,2,7,0.286,4,4,1,0,3,3,10,1,1,3,4,24,20.7,-10,0.64,0.588,0,10.5,5.8,52.6,1.6,2.7,13.8,32.6,129,130,4.6
2021/5/13,36-007,PHO,POR,W (+1),,regular,1,32:07:00,11,14,0.786,2,2,1,2,2,1,0,0,0,7,0,0,1,3,26,23.3,-3,0.874,0.857,0,0,0,42.6,0,0,6.3,21.5,171,122,12.3
2021/5/15,36-009,PHO,SAS,W (+37),@,regular,1,24:40:00,7,10,0.7,1,2,0.5,1,1,1,0,5,5,10,1,0,2,1,16,18.9,26,0.766,0.75,0,20.7,11.1,50.7,1.8,0,16.1,21.3,148,97,9.6
2021/5/16,36-010,PHO,SAS,W (+2),@,regular,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2019/10/23,34-170,OKC,UTA,L (-5),@,regular,1,30:07:00,7,15,0.467,4,7,0.571,4,4,1,1,7,8,3,1,0,1,4,22,17.6,4,0.656,0.6,3.5,21.5,13.1,22.9,1.6,0,5.6,25.8,130,99,11.9
2019/10/25,34-172,OKC,WAS,L (-12),,regular,1,30:02:00,3,9,0.333,0,2,0,0,3,0,0,2,2,4,0,0,5,1,6,-2.3,-7,0.291,0.333,0,6.4,3.3,22.7,0,0,32.6,22.1,49,101,-14
2019/10/27,34-174,OKC,GSW,W (+28),,regular,1,19:04,2,5,0.4,2,2,1,4,4,1,0,2,2,2,1,0,0,1,10,9.9,21,0.74,0.6,0,9.3,5.7,12.9,2.5,0,0,15.4,167,92,6.7
2019/10/28,34-175,OKC,HOU,L (-4),@,regular,1,33:55:00,6,14,0.429,3,7,0.429,0,2,0,0,4,4,4,2,0,6,4,15,5.2,-3,0.504,0.536,0,12.6,6.2,17.4,2.8,0,28.7,25.1,80,112,-6.7
2019/10/30,34-177,OKC,POR,L (-3),,regular,1,31:26:00,5,10,0.5,1,4,0.25,10,11,0.909,0,5,5,5,2,0,4,1,21,18.2,4,0.708,0.55,0,15,7.3,30.1,3,0,21.2,24.3,121,97,8.9
2019/11/2,34-180,OKC,NOP,W (+11),,regular,1,29:17:00,5,9,0.556,3,5,0.6,2,2,1,1,0,1,9,3,0,3,2,15,16.9,11,0.759,0.722,3.5,0,1.6,45,4.9,0,23.3,18.8,137,104,10.8
2019/11/5,34-183,OKC,ORL,W (+8),,regular,1,32:05:00,6,15,0.4,2,6,0.333,6,6,1,0,2,2,6,3,0,0,3,20,18.5,5,0.567,0.467,0,6.4,3.3,32,4.9,0,0,25.4,128,100,10.6
2019/11/7,34-185,OKC,SAS,L (-9),@,regular,1,30:51:00,7,14,0.5,2,4,0.5,3,4,0.75,0,2,2,5,1,0,1,1,19,15.3,-12,0.603,0.571,0,8,4,25,1.6,0,6,25.2,120,126,1.1
2019/11/9,34-187,OKC,GSW,W (+6),,regular,1,30:34:00,5,11,0.455,0,3,0,6,6,1,0,5,5,9,3,0,3,2,16,17.3,10,0.587,0.455,0,19.2,10.3,40.2,4.8,0,18,25,122,104,2.9
2019/11/10,34-188,OKC,MIL,L (-2),,regular,1,31:46:00,6,11,0.545,3,5,0.6,2,2,1,0,5,5,5,1,0,3,1,17,14.3,-7,0.715,0.682,0,21.6,9.1,21,1.4,0,20.2,19.8,116,115,0.5
2019/11/12,34-190,OKC,IND,L (-26),@,regular,1,24:58:00,2,7,0.286,0,2,0,3,4,0.75,0,4,4,8,3,0,3,2,7,8.5,-10,0.4,0.286,0,18.3,8.5,61.1,5.9,0,25.5,21,83,105,1.1
2019/11/15,34-193,OKC,PHI,W (+8),,regular,1,38:28:00,7,13,0.538,1,3,0.333,12,12,1,1,7,8,5,0,0,0,3,27,25.8,16,0.739,0.577,3.8,22.4,14,22,0,0,0,23.5,163,122,7
2019/11/18,34-196,OKC,LAC,L (-2),@,regular,1,33:20:00,5,10,0.5,2,4,0.5,10,11,0.909,0,4,4,4,4,0,1,3,22,22.4,-1,0.741,0.6,0,11.8,6.1,27.7,6.1,0,6.3,21.9,149,90,16
2019/11/19,34-197,OKC,LAL,L (-5),@,regular,1,30:11:00,1,7,0.143,0,2,0,2,2,1,0,5,5,10,4,0,1,5,4,9,1,0.254,0.143,0,17.7,9.4,43.7,6.6,0,11.3,13.3,97,104,1.5
2019/11/22,34-200,OKC,LAL,L (-3),,regular,1,31:46:00,5,11,0.455,2,6,0.333,6,7,0.857,1,3,4,7,1,0,1,4,18,16.8,-12,0.639,0.545,3.8,10.8,7.4,25.5,1.5,0,6.6,20.2,138,127,2.7
2019/11/25,34-203,OKC,GSW,W (+3),@,regular,1,34:55:00,7,15,0.467,4,8,0.5,2,2,1,1,6,7,5,1,0,3,2,20,15.5,-1,0.63,0.6,3.4,19.2,11.5,22.6,1.5,0,15.9,24.8,114,105,1.8
2019/11/27,34-205,OKC,POR,L (-17),@,regular,1,25:09:00,6,12,0.5,0,4,0,4,4,1,0,2,2,5,0,0,0,0,16,14.1,-13,0.581,0.5,0,9.5,4.1,34.6,0,0,0,23.7,131,139,1.1
2019/11/29,34-207,OKC,NOP,W (+5),,regular,1,28:57:00,3,9,0.333,1,6,0.167,0,0,,0,6,6,5,2,0,1,4,7,6.6,7,0.389,0.389,0,23.1,11.6,21.8,3.3,0,10,15.3,91,100,-4.9
2019/12/1,34-209,OKC,NOP,W (+3),@,regular,1,33:06:00,6,9,0.667,2,3,0.667,2,2,1,0,4,4,8,0,0,2,2,16,16.1,10,0.81,0.778,0,12.9,6.6,39.6,0,0,16.8,16.7,146,110,5.6
2019/12/4,34-212,OKC,IND,L (-7),,regular,1,33:25:00,2,9,0.222,0,2,0,0,0,,0,3,3,10,0,0,0,2,4,5.6,-6,0.222,0.222,0,10.8,5.7,37.7,0,0,0,13,98,125,-6.5
2019/12/6,34-214,OKC,MIN,W (+12),,regular,1,37:21:00,11,20,0.55,1,3,0.333,7,7,1,1,3,4,7,0,2,0,4,30,26.7,19,0.65,0.575,4.1,10.6,7.6,29.7,0,4.9,0,28.3,150,125,7.8
2019/12/8,34-216,OKC,POR,W (+12),@,regular,1,31:14:00,7,17,0.412,2,6,0.333,4,5,0.8,0,4,4,2,3,0,0,2,20,15.3,4,0.521,0.471,0,10.4,5.9,12.7,4.9,0,0,26.8,120,98,9.1
2019/12/9,34-217,OKC,UTA,W (+14),@,regular,1,30:24:00,7,15,0.467,0,4,0,2,2,1,0,4,4,7,3,0,1,2,16,15.6,20,0.504,0.467,0,12.4,6.7,38.2,4.7,0,5.9,25.8,106,87,5.7
2019/12/11,34-219,OKC,SAC,L (-1),@,regular,1,35:05:00,3,9,0.333,2,5,0.4,0,0,,0,7,7,12,0,3,1,2,8,13.7,14,0.444,0.444,0,22.8,11.4,54.9,0,7.2,10,13.4,121,96,5.8
2019/12/14,34-222,OKC,DEN,L (-8),@,regular,1,33:46:00,5,8,0.625,0,2,0,5,6,0.833,0,4,4,10,4,0,3,2,15,19.4,-9,0.705,0.625,0,14.2,7,46,5.8,0,22,18.3,128,104,11.5
2019/12/16,34-224,OKC,CHI,W (+3),,regular,1,36:04:00,9,12,0.75,6,8,0.75,6,6,1,1,9,10,8,2,0,5,3,30,30,4,1.025,1,3.8,31.5,18.2,46.2,2.7,0,25.5,24.4,157,106,17
2019/12/18,34-226,OKC,MEM,W (+4),,regular,1,30:39:00,6,10,0.6,1,2,0.5,5,5,1,0,4,4,5,2,0,0,2,18,19.3,-18,0.738,0.65,0,14.2,7.6,21.4,3.1,0,0,17.2,159,117,7
2019/12/20,34-228,OKC,PHO,W (+18),,regular,1,27:37:00,5,8,0.625,0,1,0,5,6,0.833,0,2,2,7,1,0,3,3,15,13.3,0,0.705,0.625,0,7.7,4.5,30.2,1.8,0,22,21.3,129,113,2.1
2019/12/22,34-230,OKC,LAC,W (+6),,regular,1,35:58:00,5,13,0.385,2,5,0.4,0,0,,2,5,7,6,0,0,1,3,12,9.8,-1,0.462,0.462,5.6,15.5,10.3,20.4,0,0,7.1,15.9,116,119,-4
2019/12/26,34-234,OKC,MEM,L (-13),,regular,1,33:45:00,9,15,0.6,2,4,0.5,3,3,1,0,6,6,11,3,0,3,3,23,24.4,8,0.705,0.667,0,24.4,10.2,62.1,4.4,0,15.5,25.7,130,110,13.1
2019/12/27,34-235,OKC,CHO,W (+2),@,regular,1,34:55:00,6,20,0.3,0,6,0,4,4,1,1,6,7,6,1,0,1,2,16,10.3,-5,0.368,0.3,3.2,16.3,10.3,29.5,1.5,0,4.4,29.6,89,98,-2.5
2019/12/29,34-237,OKC,TOR,W (+1),@,regular,1,33:47:00,9,18,0.5,3,6,0.5,4,4,1,0,11,11,8,0,0,5,1,25,19.5,12,0.633,0.583,0,36.3,18.4,53.6,0,0,20.2,33.5,113,105,6.2
2019/12/31,34-239,OKC,DAL,W (+5),,regular,1,35:38:00,7,15,0.467,1,2,0.5,2,2,1,1,7,8,7,1,0,4,2,17,13.2,17,0.535,0.5,2.7,17.1,10.3,31.9,1.4,0,20.1,23.4,105,107,1.7
2020/1/2,34-241,OKC,SAS,W (+6),@,regular,1,32:16:00,8,14,0.571,0,2,0,0,0,,0,8,8,5,2,0,1,2,16,15.5,-1,0.571,0.571,0,24.3,13.5,23.9,3.3,0,6.7,21.9,119,108,2.7
2020/1/4,34-243,OKC,CLE,W (+15),@,regular,1,30:24:00,3,9,0.333,0,4,0,1,2,0.5,0,4,4,10,0,0,4,2,7,4.9,7,0.354,0.333,0,14.7,6.7,41.3,0,0,28.8,18.5,88,115,-9.9
